Date,Content,From
"Thu, May 6, 2010 8:53:33 PM",Is Denmark tired? I want to ask you if you want a breakfast in bed for Mother's day. That means I bring up to you your breakfast.,Kid
"Fri, May 7, 2010 at 1:01 PM","You are right. The trip is very tired. I am glad that I will go home soon. I miss you all so much.
 
Bring me a breakfast in bed sounds like a brilliant idea. Is there anything you want me to bring to you from Denmark? I have no idea what you and Alex may like that I can find at airport stores tomorrow. Please let me know if you have some ideas.
 
By the way, I will be home around 8 at night.
 ",Parent
"Sun, May 9, 2010 at 2:34 AM","You did a great job taking care of grandma and Alex during last week when Mom is out of town. You are great girl and I'm so proud.

Dad will miss you when traveling in China.

please email me what you want. I think you deserve a great gift.",Parent
"Sun, Jun 20, 2010 at 1:52 PM","Daddy miss you, Alex and mom.
 
Just want to talk with you. As a father, I have huge responsibility to make you happy and grow up to be a happy woman. Due to job, daddy must be out of town for a while. I wish that I can be back by the end of this year.
 
Thanks again for the card. I forgot it is father's day this weekend. Otherwise I will book the ticket early.
 
I think you have lots of good characters, but also bad ones. Among them, two are most obvious:
1) not so generous
2) not so brave
 
To be generous, you need to be sympathy to others. Until you love, care and worry about others, then you will be generous. In this world, there are more people poorer than us, you need to learn to share, care, and contribute. You can start from treating your brother Alex. He is your family and still young, you need take care of him. Sometime you are doing very well.
 
To be brave, you just do not need to worry about something will not happen or does not matter. You do not need to care about how others will think, such as they will laught at you when you are learning something. It is ok to be stupid when you are learning something. It is be a shame if you never learn something because you are afraid of failure. For example, you really do not need to worry during swimming since your safety is garanteed. I will be there as well as the safe guard.
 
Of course, to be brave does not mean that you do something carelessly. For example swiming alone or walk outside in dark. But our community is quite safe and I encourage you to ride/bike outside nearby. Of course, you need to learn how to protect yourself by equipment. In case, you need yell if someone want to hurt you.
 
So long for today. Daddy is not mad at you. But want to be always at my little girl's side.
 
How is your social well being in school?: If you have something puzzled, talk to daddy, mom. We are always here to help you.",Parent
"Thu, Jun 3, 2010 at 6:44 AM","Hi, Girl,
 
How are you these days?",Parent
"Mon, Jun 7, 2010 at 4:35 PM",I bought Wii sports and Wii sports resort for you. We can play this weekend or in next weekend. Please check out the coming two packages,Parent
"Wed, Jun 9, 2010 at 2:50 PM","Two things to tell you:
Everyone has his/her shortcoming and virture. Do not be afraid of failure.
 
To achieve good score, you need working hard.",Parent
"Mon, Jun 21, 2010 at 11:08 AM","Katie, I completed the survey. Based on the email, you can get a silly band from your counselor by telling him/her that you completed the survey.",Parent
"Tue, June 22, 2010 8:24:47 AM","I got a good idea for you in school. You told me some students has bias on China as well as Chinese. Those kids are somehow blinded and narrow minded since they do not know China by themselves. World is changing fast and what they know from their parents are not correct anymore.
 
I think it is a good topic for you to have  a project as "" China of 2010"" or ""Shanghai 2010"". As it says, one figure is better than thousand words. So I would suggest you to take pictures of daily life in China and put a post in School.
 
I have some ideas on the topics which you should take pictures on. We can discuss during night or weekend. Basically you should think over what does daily life compose of?  I will send you in another email on the topics I have. I wish you can think over it first.
 
Do not forget. I think mom will buy a new camera. So you can take the current one for shotting. Buy some batteries and clear out the space in the memory card!",Parent
"Wed, June 23, 2010 6:49:13 PM","Thanks for letting me use the old camera. I thing a project will not help. Maybe the book that has Chinese and English on it might.
By I love you",Kid
"Wed, Jun 23, 2010 at 9:03 PM","You mean to buy books to give other kids at school. Several disadvantages compared to the picturing project:
1) a poster can be read by lots of people,while a book just for one
2) you may be unable to find a book which describes the China in the way you want and also with Chinese and English.

So I would suggest you to take pictures with select topics. We can discuss on that. It will be a good project.",Parent
"Wednesday, June 23, 2010 6:50 PM","It's not moving at all.
",Kid
"Tue, Jul 6, 2010 at 4:38 PM","Katie, these are the topics you can take for pictures in China. I believe that you can capture all of these when you will be in China.

Bearing in mind, there is a topic for an essay, also for the pictures. The picture should reflect something or tell the viewer something.

What is the life for a student, young worker, retired one, et al.?
What is situation for living in big city such as Shanghai, rural area et al.?
What/how do people eat, dress, lodge, work, commute, travel?
What do they do during weekend?",Parent
"Tue, July 6, 2010 11:59:06 PM","Hope you enjoy the July4th weekend with daddy. I'm sorry that I must work out of Raleigh and can not spend much time with you.

I know you are wondering who loves you in the family. As far as I know, both daddy and mom love you. I know we sometimes are strict to you with high demand. In addition, daddy is easy to lose temper. But I know I love you from bottom of my heart.

Katie, please tell daddy ""please control your temper"" if daddy yells at you.

It is always good that you have your own thoughts and can argue with us. But also you need to listen to our voice.

If you have anything wondering in school, please feel free to tell daddy and mom.

If you receive this email and understand it, please reply me.

Have a wonderful day.",Parent
"Wed, July 7, 2010 8:44:34 PM","I understand.
Sometimes when I correct you you get madder and yell at me louder.",Kid
"Wed, Jul 7, 2010 at 6:02 PM","I will try not to yell at you. I can not promise, but I will try my best.

You can keep saying "" calm down, daddy you are losing temper "". Being persistent when you are facing pressure is a good character.

BTW, I really hope that you can learn the swim this summer. I will be staying one week during end of August for mom's BD.",Parent
"Wed, Jul 7, 2010 at 11:19 AM","I would also like to tell you that: it is a good thing to have own opinion. To defend own opinion, you need right reasoning and evidence. Daddy would like to discuss and argue with you.
 ",Parent
"Thu, Jul 8, 2010 at 7:26 AM","I think you have lots of merits, but you have one big imperfection in your characters: you do not like anyone's critism.
 
Facing critism is one of essential factor to be sucess for you in future. Of course, you can judge the critism by self. If you think it is correct, then you should try to improve it or change your behavior. If you think it is not correct, try to reason or just ignore it. But being hysterical or yelling back is a behavior without class.
 
Be able to listen to others can bring lots of good things to you: friend, knowledge, more perfect !",Parent
"Sun, Jul 11, 2010 at 6:44 PM","daddy is reading a book as How to talk to anyone - 92 little tricks for  big success in relationships. I just finished first section of 10 tricks. I would like to share with you when I read through this book. I think we have similar personality and need to improve for success.

Among first section, the most important 3 things are:
1) keep eye contact during talking 
2) keep smile, but a little bit slow (not instant responsive)
3) act like a big winner (i.e. confident)
Others are also important, such as being creditable.

more to come. if you understand, please reply.

Have a nice day.",Parent
"Wed, Jul 14, 2010 at 7:16 AM","you should learn swimming, which can keep you in good shape.",Parent
"Fri, Jul 23, 2010 at 12:46 PM","if you learn Chinese well, you can enjoy much. Here is one example. Basically you can not translate.",Parent
"Mon, Aug 2, 2010 at 7:22 PM
","Congratulation! Finally you become 4-grade girl!

By now, I think you are smarter, more independent, more broad-hearted. Dad wish you have a wonderful year. You learn a lot in school, make a lot of friends, become more wise - always think from multiple angles rather than narrow-minded.

BTW, enjoy your shred 1, 2, 3.

Have a nice day.",Parent
"Wed, Aug 4, 2010 at 7:57 PM","I'm glad to hear that you enjoy your 4th grade. As a 4th grade girl, you have more stuff to learn. Most importantly, you will gradually start to know how the nature is operating and the society is operating. I wish that I can hear that from you by the end of your 4th grade.

To understand nature, you need learn math, science et al. Nature is governed by lots of laws, which is abstracted in science or can be described in math equations.

To understand society, you need learn language as well social. Learning multiple language is desirable for you to understand people around the world, while making friends can directly make you familiar with the life around the states or different countries. I wish you do make more friends.

To make friends, you need compromise interests of each others. I wish you can understand that.

If you do not understand anything, please write me email.",Parent
"Thu, August 5, 2010 8:56:12 PM","What courses are you taking during 4th grade? Do you have any challenges for these?

Please write back email.",Parent
"Sun, August 8, 2010 8:17:24 AM",Don't know what your talking about,Kid
"Sun, Aug 8, 2010 at 5:58 AM",I mean what classes you are taking now and do you have learning issue or you like/dislike them?,Parent
"Fri, Sep 10, 2010 at 5:39 PM","I hope that you think over a lot after today's talking. I wish that you can write something about yourself, basically review self in various aspects. If you have difficulties in writing, you can call me.

Just like writing an essay, you should review self as the topic "" Who is Katie"".

Please list followings and classify which parts are good and which needs improvement or more work:
1) personality
2) hobby
3) attitude to work, sports, family.

Here are dad and mom's wishes:
1) be healthy, active in sports
2) stay focus in learning anything, including in school, learning piano, chorus, ballet et al
3) be confident and control your anger. Respect others not only in school, but at home.
4) be appreciative of the love and given from others

Particular, I wish you spend more time outdoor rather than in-house watching TV. Staying in door makes a young girl sluggish not only physically, but also in mood. You are not sunny any more. A sports girls is always positive and smiling.

Please call me if you have time tonight or anything in future in you have puzzle in life.",Parent
"Wed, Sep 15, 2010 at 5:25 PM",Do not waste too much time on game. Did you forget the email I sent you?,Parent
"Tue, Oct 26, 2010 at 5:30 AM","If possible, Dady want a gift from you for BD: laptop bag for travel or some box (underwear).
 
Have a great day.
 
BTW, you will go to middle school two years later. I wish you can make great score !",Parent
"Tue, Oct 26, 2010 at 5:59 AM","You should not be afraid of taking risks and making error. Making error is normal in life. What you need to know afterwards is: 1) what I did wrong; 2) How to prevent next time.
 
There are other ways to prevent mistake before hand. Usually you make error when you do not understand something or there is a problem.
 
If you do not know something, you can always consult Daddy and Mommy for these.
 
If there is a problem, there are seven main steps to follow when trying to solve a problem.  These steps are as follows:
1.    Define and Identify the Problem
2.    Analyze the Problem
3.    Identifying Possible Solutions
4.    Selecting the Best Solutions
5.    Evaluating Solutions
6.    Develop an Action Plan
7.    Implement the Solution
Have a nice day.",Parent
" Fri, October 29, 2010 9:55:32 PM","Do you think this one is OK. It is from target on black friday. I'm thinking currently to buy one a low level one. If you really like it, we can buy new a really nice one.",Parent
"Sat, Oct 30, 2010 at 2:40 PM",It is better to wait the recommendation from the teacher. Currently the key thing is to decide if and when Katie join guitar class........,Parent
" Wed, November 3, 2010 8:21:11 PM",today I got to be queen at the YMCA. the staff chooses 3 students  from each 2 grades and I was nominated. then the children and the staff votes who wins and they get a star and a crown. Makayla also got it too. I'll show you when you get back.,Kid
"Wed, November 3, 2010 7:23:47 PM",That is great! Keep good work.,Parent
"Thu, November 4, 2010 8:30:12 PM","My tooth fell out by it's self. I'm so glad I didn't have to pull it out. Last time when I pulled it out I cried. It fell out when I was eating a burger. More money from the tooth fairy. I don't believe the tooth fairy, but I like money!! The reason why is one time I had to wait 3 days until I got my money. Those 3 days were also the days mom was very tired.",Kid
"Thu, Nov 4, 2010 at 6:07 PM","so you know who gave you the money?

Any scientific logic behind this finding?",Parent
"Sat, November 27, 2010 9:27:56 AM","Happy Birthday DADDY!!!!  
  :)    -  (smile)",Kid
"Sat, Nov 27, 2010 at 10:06 AM",Thank you very much.,Parent
"Sun, November 28, 2010 7:11:54 PM","Will you please copy these pictures just the way they r in color at your work place. I need it for my project.
Please see the attachment below. Thanks.",Kid
"Tue, November 30, 2010 12:42:45 PM","When you write email like this next time, you'd better to address who you were writing to.
 ",Parent
"Tue, November 30, 2010 8:57:00 PM", Thanks for Printing the Pictures.,Kid
"Wed, Dec 1, 2010 at 6:23 AM",You are very welcomed. Hope you have a excellent presentation today.,Parent
